Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,Total_Innings,Total_Runs,Total_Balls_Faced,Total_Minutes,Dismissals,Times_Not_Out,Batting_Average,Strike_Rate,Avg_Runs_Per_Innings,Avg_Balls_Per_Innings,Avg_Minutes_Per_Innings,Count_30_Plus,Count_50_Plus,Count_70_Plus,Highest_Score,Most_Fours_Innings,Most_Sixes_Innings,Total_Fours,Total_Sixes,Total_Boundaries,Boundary_Runs,Boundary_Percentage,Boundary_Frequency,Fours_Per_Innings,Sixes_Per_Innings,Four_to_Six_Ratio,Balls_Per_Four,Balls_Per_Six,Balls_Per_Boundary,Non_Boundary_Runs,Non_Boundary_Balls,Rotation_Strike_Rate,Estimated_Dot_Balls,Dot_Ball_Percentage,Runs_Std_Deviation,Runs_CV,Percentage_30_Plus,Percentage_50_Plus,Percentage_70_Plus,Conversion_30_to_50,Conversion_50_to_70,Percentage_Single_Digit,Percentage_Duck,Powerplay_Runs,Powerplay_Balls,Powerplay_SR,Powerplay_Contribution,Death_Overs_Runs,Death_Overs_Balls,Death_Overs_SR,Death_Overs_Contribution,Impact_Score
Deepak Hooda,Deepak Hooda,All-Rounder,CSK,NO,44.0,829.0,637.0,1134.0,41.0,3.0,20.21951219512195,130.14128728414443,18.84090909090909,14.477272727272727,25.772727272727273,9.0,6.0,0.0,64.0,7.0,6.0,63.0,32.0,95.0,444.0,53.55850422195416,14.913657770800627,1.4318181818181819,0.7272727272727273,1.96875,10.11111111111111,19.90625,6.705263157894737,385.0,542.0,71.03321033210332,114.0,17.931275074132216,18.00251039576655,95.55,20.454545454545453,13.636363636363637,0.0,66.66666666666667,0.0,34.09090909090909,2.4390243902439024,30.0,37.0,81.08108108108108,3.6188178528347406,136.0,91.0,149.45054945054946,16.405307599517492,11.524306764663907
Devon Conway,Devon Conway,Batter,CSK,NO,22.0,924.0,654.0,1181.0,19.0,3.0,48.63157894736842,141.28440366972478,42.0,29.727272727272727,53.68181818181818,14.0,9.0,6.0,92.0,16.0,6.0,99.0,30.0,129.0,576.0,62.33766233766234,19.724770642201836,4.5,1.3636363636363635,3.3,6.606060606060606,21.8,5.069767441860465,348.0,525.0,66.28571428571429,138.0,21.15188583078492,33.03533461815293,78.66,63.63636363636363,40.90909090909091,27.272727272727273,64.28571428571429,66.66666666666667,27.272727272727273,10.526315789473685,27.0,57.0,47.36842105263158,2.9220779220779223,218.0,143.0,152.44755244755245,23.593073593073594,14.8348623853211
Dewald Brevis,Dewald Brevis,Batter,CSK,NO,9.0,207.0,152.0,226.0,9.0,0.0,23.0,136.18421052631578,23.0,16.88888888888889,25.11111111111111,4.0,0.0,0.0,49.0,6.0,5.0,16.0,14.0,30.0,148.0,71.4975845410628,19.736842105263158,1.7777777777777777,1.5555555555555556,1.1428571428571428,9.5,10.857142857142858,5.066666666666666,59.0,122.0,48.36065573770492,56.0,37.134502923976605,19.4164878389476,84.42,44.44444444444444,0.0,0.0,0.0,0.0,44.44444444444444,11.11111111111111,35.0,21.0,166.66666666666666,16.908212560386474,0.0,0.0,0.0,0.0,2.819013157894737
Kamlesh Nagarkoti,Kamlesh Nagarkoti,All-Rounder,CSK,NO,1.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MS Dhoni,MS Dhoni,WK-Batter,CSK,NO,46.0,586.0,412.0,727.0,20.0,26.0,29.3,142.23300970873785,12.73913043478261,8.956521739130435,15.804347826086957,4.0,1.0,0.0,50.0,7.0,3.0,47.0,35.0,82.0,398.0,67.91808873720136,19.902912621359224,1.0217391304347827,0.7608695652173914,1.3428571428571427,8.76595744680851,11.771428571428572,5.024390243902439,188.0,330.0,56.96969696969697,121.0,29.395900755124057,11.984127989615997,94.07,8.695652173913043,2.1739130434782608,0.0,25.0,0.0,45.65217391304348,20.0,3.0,5.0,60.0,0.5119453924914675,182.0,172.0,105.81395348837209,31.0580204778157,13.04585901224145
Rachin Ravindra,Rachin Ravindra,All-Rounder,CSK,NO,8.0,134.0,83.0,156.0,8.0,0.0,16.75,161.44578313253012,16.75,10.375,19.5,2.0,0.0,0.0,46.0,6.0,3.0,16.0,7.0,23.0,106.0,79.1044776119403,27.710843373493976,2.0,0.875,2.2857142857142856,5.1875,11.857142857142858,3.608695652173913,28.0,60.0,46.666666666666664,28.0,34.80589022757698,17.136010537545115,102.3,25.0,0.0,0.0,0.0,0.0,37.5,12.5,76.0,52.0,146.15384615384616,56.71641791044776,0.0,0.0,0.0,0.0,2.1633734939759037
Rahul Tripathi,Rahul Tripathi,Batter,CSK,NO,45.0,1114.0,791.0,1307.0,40.0,5.0,27.85,140.83438685208597,24.755555555555556,17.57777777777778,29.044444444444444,15.0,6.0,4.0,76.0,10.0,6.0,111.0,42.0,153.0,696.0,62.47755834829444,19.342604298356513,2.466666666666667,0.9333333333333333,2.642857142857143,7.126126126126126,18.833333333333332,5.169934640522876,418.0,638.0,65.51724137931035,173.0,21.941283888186543,21.496464355748827,86.83,33.333333333333336,13.333333333333334,8.88888888888889,40.0,66.66666666666667,31.11111111111111,7.5,140.0,101.0,138.6138613861386,12.567324955116696,178.0,128.0,139.0625,15.978456014362656,17.43216743924709
Ravichandran Ashwin,Ravichandran Ashwin,All-Rounder,CSK,NO,32.0,359.0,279.0,524.0,20.0,12.0,17.95,128.67383512544802,11.21875,8.71875,16.375,3.0,1.0,0.0,50.0,4.0,3.0,23.0,16.0,39.0,188.0,52.36768802228412,13.978494623655914,0.71875,0.5,1.4375,12.130434782608695,17.4375,7.153846153846154,171.0,240.0,71.25,50.0,17.921146953405017,12.434951716574874,110.84,9.375,3.125,0.0,33.333333333333336,0.0,62.5,10.0,25.0,21.0,119.04761904761905,6.963788300835654,90.0,57.0,157.89473684210526,25.069637883008358,6.3516621863799285
Ravindra Jadeja,Ravindra Jadeja,All-Rounder,CSK,NO,43.0,753.0,546.0,1066.0,22.0,21.0,34.22727272727273,137.9120879120879,17.511627906976745,12.69767441860465,24.790697674418606,5.0,2.0,0.0,62.0,5.0,5.0,55.0,28.0,83.0,388.0,51.527224435590966,15.2014652014652,1.2790697674418605,0.6511627906976745,1.9642857142857142,9.927272727272728,19.5,6.578313253012048,365.0,463.0,78.83369330453564,57.0,10.520960520960523,14.019326953859187,80.06,11.627906976744185,4.651162790697675,0.0,40.0,0.0,32.55813953488372,13.636363636363637,0.0,3.0,0.0,0.0,271.0,202.0,134.15841584158414,35.98937583001328,15.456417071300791
Ruturaj Gaikwad,Ruturaj Gaikwad,Batter,CSK,NO,57.0,2134.0,1528.0,2454.0,52.0,5.0,41.03846153846154,139.65968586387436,37.43859649122807,26.80701754385965,43.05263157894737,32.0,17.0,10.0,108.0,12.0,9.0,200.0,83.0,283.0,1298.0,60.824742268041234,18.520942408376964,3.508771929824561,1.456140350877193,2.4096385542168677,7.64,18.40963855421687,5.3992932862190814,836.0,1245.0,67.14859437751004,316.0,20.687899941826643,30.6553523314676,81.88,56.14035087719298,29.82456140350877,17.54385964912281,53.125,58.8235294117647,22.80701754385965,5.769230769230769,184.0,200.0,92.0,8.622305529522025,494.0,307.0,160.91205211726384,23.14901593252109,32.41770827592542
